pdb_code,issue,value
6f9v,large_pocket,2140.0
6fbv,large_pocket,2090.0
6fkq,large_ligand,161.0
6gbe,large_ligand,111.0
6gfx,large_ligand,135.0
6h0b,large_pocket,2113.0
6h0b,large_ligand,108.0
6h41,large_ligand,154.0
6h8c,large_ligand,152.0
6h96,large_pocket,2538.0
6hai,large_pocket,2472.0
6hay,large_pocket,2044.0
6hhj,large_pocket,2008.0
6hkz,large_pocket,2091.0
6hp5,large_pocket,2280.0
6hr2,large_pocket,2003.0
6hy2,large_ligand,103.0
6hy7,large_ligand,106.0
6hzx,large_ligand,158.0
6ijl,large_pocket,2041.0
6im4,large_pocket,2219.0
6iqg,large_ligand,122.0
6k1q,large_pocket,2138.0
6kmj,large_ligand,132.0
6miv,large_pocket,3082.0
6miy,large_pocket,2992.0
6mj4,large_pocket,3026.0
6mja,large_pocket,3035.0
6mji,large_pocket,2989.0
6mjj,large_pocket,3074.0
6mjq,large_pocket,2940.0
6mm5,large_ligand,105.0
6mt4,large_pocket,2182.0
6mt5,large_pocket,2217.0
6mt6,large_pocket,2199.0
6n7q,large_ligand,105.0
6n87,large_ligand,117.0
6n9t,large_ligand,119.0
6nk1,large_ligand,119.0
6o9c,large_pocket,2089.0
6oh3,large_pocket,2105.0
6oie,large_ligand,121.0
6om4,large_pocket,2073.0
6oyh,large_pocket,2002.0
6p7p,large_pocket,2449.0
6p7q,large_pocket,2037.0
6pek,large_ligand,106.0
6peu,large_pocket,2462.0
6pve,large_pocket,2086.0
6pvs,large_pocket,2078.0
6pxc,large_ligand,107.0
6q36,large_ligand,147.0
6q38,large_ligand,118.0
6q4q,large_ligand,124.0
6q9t,large_ligand,224.0
6qs1,large_pocket,3288.0
6r0x,large_ligand,140.0
6r8i,large_ligand,128.0
6rjp,large_ligand,134.0
6s07,large_ligand,115.0
6sen,large_ligand,138.0
6seo,large_ligand,134.0
6tyz,large_ligand,104.0
